start,end,name
1/01/2020,1/01/2020,New Year's Day
27/01/2020,27/01/2020,Australia Day
10/04/2020,10/04/2020,Good Friday
11/04/2020,11/04/2020,The day after Good Friday
12/04/2020,12/04/2020,Easter Sunday
13/04/2020,13/04/2020,Easter Monday
25/04/2020,25/04/2020,Anzac Day
4/05/2020,4/05/2020,Labour Day
5/10/2020,5/10/2020,Queen's Birthday
24/12/2020,24/12/2020,Christmas Eve
25/12/2020,25/12/2020,Christmas Day
26/12/2020,26/12/2020,Boxing Day
28/12/2020,28/12/2020,Boxing Day (Additional day)
