start,end,name
5/10/2020 00:00,5/10/2020 23:45,Queen's Birthday
24/12/2020 00:00,24/12/2020 23:45,Christmas Eve
25/12/2020 00:00,25/12/2020 23:45,Christmas Day
26/12/2020 00:00,26/12/2020 23:45,Boxing Day
28/12/2020 00:00,28/12/2020 23:45,Boxing Day (Additional day)
