"Year","Name","DateTimeRanges","callaction","Greetings"
"2021","Qld Holidays","Microsoft.Rtc.Management.Hosted.Online.Models.DateTimeRange Microsoft.Rtc.Management.Hosted.Online.Models.DateTimeRange Microsoft.Rtc.Management.Hosted.Online.Models.DateTimeRange",,
"2022","Qld Holidays","Microsoft.Rtc.Management.Hosted.Online.Models.DateTimeRange",,
