start,end,name
1/01/2021,1/01/2021,New Year's Day observed
26/01/2021,26/01/2021,Australia Day
2/04/2021,2/04/2021,Good Friday observed
5/04/2021,5/04/2021,Easter Monday oberved
26/04/2021,26/04/2021,Anzac Day observed
3/05/2021,3/05/2021,Labour Day
4/10/2021,4/10/2021,Queen's Birthday
24/12/2021,24/12/2021,Christmas Eve
27/12/2021,27/12/2021,Christmas Day observed
28/12/2021,28/12/2021,Boxing Day observed
